student_id,location,tablet_access,bandwidth,resource_level,teacher_qualification
sdv-id-UgVANI,peri-urban,no_access,low,high,diploma
sdv-id-fnmMnt,urban,shared_access,high,high,diploma
sdv-id-SAicgG,peri-urban,individual_access,high,high,diploma
sdv-id-tgfSxx,urban,no_access,medium,low,degree
sdv-id-EGOaxn,rural,individual_access,low,high,diploma
sdv-id-VDKpzB,peri-urban,shared_access,medium,medium,postgraduate
sdv-id-DFbvfR,urban,individual_access,low,low,untrained
sdv-id-rBhpjo,urban,shared_access,medium,low,postgraduate
sdv-id-kPMIMe,peri-urban,no_access,low,medium,degree
sdv-id-jakpuF,urban,no_access,low,low,diploma
sdv-id-eebWHZ,peri-urban,individual_access,low,high,diploma
sdv-id-wYFCJX,urban,individual_access,medium,medium,untrained
sdv-id-iocCpa,urban,no_access,low,medium,diploma
sdv-id-cqKHPk,urban,no_access,low,medium,degree
sdv-id-ZsPmSq,peri-urban,individual_access,low,low,degree
sdv-id-CzGMpM,urban,no_access,high,medium,diploma
sdv-id-qFoRcU,rural,individual_access,low,medium,untrained
sdv-id-zwbQVX,peri-urban,individual_access,medium,high,diploma
sdv-id-Kczqms,rural,no_access,medium,low,diploma
sdv-id-zMKkMa,urban,individual_access,medium,medium,postgraduate
sdv-id-suREEy,peri-urban,shared_access,medium,medium,diploma
sdv-id-pKZvzI,rural,no_access,high,low,untrained
sdv-id-XQFIBk,peri-urban,individual_access,medium,high,diploma
sdv-id-YREBrz,urban,no_access,low,high,diploma
sdv-id-aVCeOv,rural,no_access,high,medium,untrained
sdv-id-ZjyryW,peri-urban,no_access,low,low,postgraduate
sdv-id-RjSaIX,rural,individual_access,low,medium,untrained
sdv-id-hfLIJx,peri-urban,individual_access,high,high,diploma
sdv-id-PCVdDP,peri-urban,individual_access,high,medium,diploma
sdv-id-ljQMDJ,rural,individual_access,medium,medium,diploma
sdv-id-WGVZho,rural,individual_access,high,high,diploma
sdv-id-XFAhQI,peri-urban,no_access,medium,medium,degree
sdv-id-aIViUg,rural,no_access,low,high,degree
sdv-id-RAiXoy,rural,shared_access,medium,medium,untrained
sdv-id-OYnpzv,peri-urban,shared_access,high,low,untrained
sdv-id-IokKZS,rural,no_access,low,low,untrained
sdv-id-AVoNgo,peri-urban,no_access,medium,low,degree
sdv-id-jTpShZ,peri-urban,no_access,medium,low,degree
sdv-id-HDUBrS,rural,no_access,medium,low,diploma
sdv-id-YpvOgq,peri-urban,individual_access,low,medium,degree
sdv-id-maeQhZ,peri-urban,shared_access,low,low,diploma
sdv-id-qFWfmx,peri-urban,shared_access,high,medium,diploma
