student_id,location,tablet_access,bandwidth_category,school_resource_level,teacher_qual
2440471,Peri-urban,0,2,1,0.5813903988194105
14939041,Peri-urban,0,2,2,0.6210004230912912
8387915,Urban,1,3,3,0.8285875622412154
13051616,Urban,1,3,2,0.8519400982862111
2690318,Peri-urban,0,2,1,0.5629938907053431
12577997,Peri-urban,0,2,1,0.5079400904666195
1536936,Rural,0,1,1,0.33849674638723704
10099524,Peri-urban,0,2,1,0.4837800044487166
6742937,Peri-urban,1,2,2,0.5650703730849199
2593413,Urban,1,1,2,0.7814568642803802
3506787,Peri-urban,0,2,1,0.6400256583740428
9625814,Rural,1,1,1,0.3819372984559322
5130838,Urban,1,3,2,0.8309505227118815
14995620,Urban,1,3,3,0.7636149418627678
7655952,Rural,0,1,1,0.37540491910661683
14331941,Rural,0,3,3,0.4647407113164376
282113,Urban,0,3,3,0.8584499944353549
9562040,Rural,1,1,2,0.5243867930985796
12791099,Rural,1,1,1,0.33415210163447684
9333416,Urban,1,3,2,0.7549798354638013
9941568,Urban,1,3,3,0.8157781878066499
10731877,Rural,0,1,2,0.37654694849772663
2271927,Rural,1,1,1,0.3584934092408616
1362624,Peri-urban,1,2,2,0.7965818768811537
11136905,Urban,1,3,2,0.7998694974242971
4399465,Peri-urban,1,2,2,0.6388462030095365
14715011,Urban,1,3,3,0.8375115141459964
14627945,Peri-urban,0,2,1,0.6141487606680319
1951640,Urban,1,3,2,0.7765020631396767
11895299,Peri-urban,1,2,2,0.6189152429068273
973499,Peri-urban,0,2,2,0.6422575491012609
2606242,Urban,1,3,3,0.6756581301406416
11646831,Rural,0,1,1,0.37346300759009976
9758505,Urban,0,3,2,0.4575516818295295
2379940,Urban,1,3,3,0.8707769145201808
7311101,Rural,0,1,1,0.32379553893095625
11755600,Peri-urban,1,3,3,0.7253621653501319
8478843,Peri-urban,0,2,3,0.7319090646015568
1995751,Rural,0,1,1,0.331619020489105
10521242,Rural,0,1,1,0.3101731926822039
13822359,Rural,1,1,1,0.4410216328411068
9972364,Urban,1,3,3,0.8297242798848281
11023946,Peri-urban,0,2,1,0.5974173789923329
6859851,Urban,1,3,3,0.801632515954188
394212,Peri-urban,1,3,3,0.5304537752345138
14073624,Rural,1,1,2,0.34877623597520296
10372866,Peri-urban,1,2,1,0.5641391396977686
7169530,Urban,0,3,2,0.7946752018973763
11699810,Urban,0,3,3,0.7827408499786817
15457189,Urban,1,3,3,0.8387308913254352
13556241,Peri-urban,0,2,1,0.5505415926733985
13283589,Urban,1,3,2,0.8487302988150187
14792405,Urban,0,3,3,0.7862413945430253
2462282,Rural,1,1,1,0.43734802305391207
13092101,Urban,0,3,3,0.806965877955991
11663156,Peri-urban,0,1,2,0.3801509551874293
12693661,Rural,0,1,1,0.4033651113926169
14692860,Peri-urban,0,2,1,0.7076100515696689
10031424,Urban,1,3,2,0.7495228611254364
12312846,Rural,1,1,1,0.3716441467447726
12589946,Rural,0,1,2,0.503056620404701
14020223,Rural,1,1,1,0.41949035182762573
6908474,Peri-urban,1,2,3,0.6362715632378076
3282023,Urban,1,3,3,0.8055352428016225
5996258,Rural,1,1,2,0.4479171371146719
9561512,Rural,0,1,2,0.37375137314740725
3065504,Rural,1,1,2,0.4861118668079087
2297851,Urban,1,3,2,0.7837676084673642
16741606,Peri-urban,0,2,1,0.5950703493681238
8212832,Urban,1,3,3,0.8576663932462393
11499548,Peri-urban,1,2,2,0.5578829815530523
6405059,Urban,1,3,3,0.8136000784059995
11363675,Urban,1,3,3,0.7439796625703994
11070055,Rural,1,1,1,0.36302172589158777
11067514,Peri-urban,0,2,2,0.6455195036348896
6563390,Rural,0,1,2,0.38297326852783686
11885836,Peri-urban,0,2,2,0.7634365923770001
10908894,Urban,0,3,3,0.7954718665978653
11241528,Peri-urban,0,2,1,0.5749887871047608
4411907,Rural,0,1,1,0.3076322113805817
3327954,Rural,0,1,1,0.40933096648071204
14591,Peri-urban,0,2,2,0.6579900588399138
13929385,Urban,0,3,3,0.853509837067752
15959954,Urban,1,3,3,0.8347785960365243
6301071,Rural,1,1,2,0.3834246515848276
5442413,Urban,1,3,3,0.7938840433203753
11881946,Urban,1,3,2,0.8766886402418946
9403324,Rural,1,1,1,0.35656869209454467
5307051,Urban,1,2,3,0.7310658791990048
953431,Rural,1,1,1,0.42223246529252273
3162916,Rural,0,1,2,0.4507842858877611
8599185,Urban,1,3,2,0.735260239201889
10382365,Urban,1,3,3,0.7655619533958348
12951201,Urban,1,3,3,0.7011659780252647
7531530,Rural,1,1,1,0.3698462221281632
15335920,Peri-urban,1,2,3,0.5634368193344005
8677094,Urban,1,3,2,0.7772991820834239
15847699,Urban,1,2,3,0.661549421072321
14529131,Urban,1,3,2,0.9113258997741389
7774268,Urban,1,3,3,0.7791841092473911
7502090,Rural,1,1,2,0.42045270513080846
2417692,Urban,0,3,3,0.8480574369183145
5322519,Peri-urban,0,2,1,0.5624666741563894
12859933,Peri-urban,0,2,3,0.5597244231459944
14728975,Peri-urban,1,2,1,0.35311364591009625
3938196,Rural,1,1,2,0.5057719378991719
9986500,Urban,1,3,3,0.7847693644747892
10328209,Rural,1,1,2,0.42479340181415964
11992025,Rural,0,1,2,0.43987747210002365
11143235,Urban,0,3,2,0.7723217790728202
14560223,Urban,1,3,3,0.8391822822441053
8229589,Rural,0,1,1,0.37987233464475845
2737844,Urban,1,3,3,0.7547789608993062
5739380,Rural,1,1,1,0.449345582819737
196648,Rural,1,1,2,0.4855005990631181
9752156,Peri-urban,0,2,1,0.553997290203572
3079343,Rural,1,1,2,0.662575892683743
13022518,Urban,1,3,2,0.7790904096486315
8479654,Rural,0,1,2,0.4238579209065086
8532596,Peri-urban,1,2,3,0.5705540016061704
9846289,Urban,1,3,3,0.8243871188995574
12117945,Urban,1,3,2,0.7650145099047478
527793,Urban,0,3,2,0.7861187049217363
71556,Urban,1,3,3,0.7546925967435889
5051428,Urban,1,3,3,0.7930923471697912
7599059,Rural,0,3,2,0.4153984246942358
5171181,Urban,1,3,2,0.9225842817517805
9932076,Urban,1,3,2,0.7730634657130155
6683242,Urban,1,3,2,0.8073487657075091
8530476,Peri-urban,0,2,3,0.6211229827223402
3456177,Rural,1,1,1,0.25266166273231666
861190,Peri-urban,1,2,3,0.5443523425476772
10548023,Peri-urban,0,2,1,0.5227102096499537
16319860,Urban,1,3,3,0.8902374638548716
8538366,Urban,0,3,2,0.7866474213551377
8639767,Rural,0,1,1,0.39540231020101
14849194,Peri-urban,0,2,1,0.6315561017749262
14092020,Urban,1,3,3,0.7952167794514409
2772975,Peri-urban,0,2,1,0.3043225279127328
10866383,Urban,1,3,2,0.8008492833999236
10855879,Urban,1,3,3,0.8786841095190752
4791031,Urban,0,3,3,0.7659011516765303
360761,Urban,1,3,2,0.888532812771429
3780773,Urban,1,3,3,0.7924872374227889
1022488,Rural,1,1,2,0.42677725015518303
9832552,Peri-urban,1,2,3,0.6256163727683179
12378978,Urban,1,3,2,0.8545747387621366
2391102,Rural,0,1,1,0.37462369706430754
13581319,Rural,0,1,3,0.4668554782206926
16361782,Rural,0,1,2,0.4359761082379254
11858655,Rural,1,1,1,0.48981200105880085
8196481,Urban,1,3,3,0.8407145587812597
2131232,Rural,0,1,1,0.468240515112784
13690206,Peri-urban,1,2,3,0.53593282875742
5346643,Urban,0,3,3,0.7162093123186857
9565813,Rural,0,1,1,0.339790257793515
16034958,Urban,1,3,3,0.8160180628876623
16458639,Peri-urban,0,2,1,0.6266607488384387
51898,Peri-urban,0,2,1,0.5584180481255193
11227402,Urban,1,3,3,0.839573690156014
14862641,Rural,1,1,1,0.36546273170971494
8195481,Rural,1,1,1,0.42314067308386066
10357790,Peri-urban,1,3,3,0.7569700744299415
3726774,Rural,0,1,1,0.4190079467654091
868644,Rural,1,1,1,0.3464141117387531
11383983,Rural,0,1,1,0.326802024234355
4556175,Peri-urban,1,2,1,0.4006556108668594
2368721,Peri-urban,0,2,3,0.6265419723971863
7480861,Urban,1,3,3,0.8078418265610431
6504331,Urban,1,2,3,0.7275516135545903
15474397,Urban,0,3,3,0.805382425804183
515748,Rural,0,1,2,0.3761233518993029
10920202,Urban,1,3,2,0.8162025180244009
15457713,Rural,0,1,2,0.388775042182143
12560269,Urban,1,3,3,0.8104272098725769
7437339,Peri-urban,0,2,1,0.5953226123690141
708944,Rural,0,1,2,0.4423845584119289
12109031,Urban,0,1,2,0.7872162960641264
13554677,Rural,1,2,1,0.7269273653115106
8813235,Peri-urban,0,2,1,0.506296195372419
10402259,Urban,1,3,3,0.7966872906277074
16122143,Urban,1,3,3,0.8361007271104549
14506155,Peri-urban,0,2,1,0.4920708712906784
16018954,Peri-urban,0,2,2,0.6291532176966413
5748790,Urban,1,3,2,0.8545597442228724
1654125,Rural,1,1,3,0.4241686833562919
762347,Urban,0,3,3,0.7805135452820674
15928076,Urban,1,3,3,0.6820808424180451
3387894,Rural,0,1,2,0.41953201777676313
14195159,Rural,0,1,1,0.5069127146607837
14713904,Peri-urban,0,2,1,0.6116028793410829
4358123,Urban,1,3,2,0.7713026322445018
2678657,Peri-urban,0,2,3,0.5458837037873385
8862587,Urban,1,2,3,0.7873747367303257
5361395,Peri-urban,1,2,2,0.5505128072423576
2293060,Urban,0,3,2,0.7802495962085628
1280418,Urban,1,3,2,0.8146035460791907
10853991,Urban,0,3,2,0.7569252417969156
5369097,Peri-urban,0,2,3,0.6227371635330388
9488680,Urban,1,3,3,0.750077311496648
6509657,Rural,0,1,1,0.40787198332712166
1711073,Rural,0,1,2,0.41460954480378676
12901476,Peri-urban,1,2,3,0.9007114917754699
6960591,Peri-urban,0,2,2,0.6050431997026671
2601663,Peri-urban,0,2,1,0.5315900230109014
10409543,Urban,1,3,3,0.8814389875249825
16370961,Urban,1,3,2,0.8032540292655963
4814078,Urban,0,3,2,0.7788006535759335
10577390,Rural,0,1,2,0.35535536534214013
6971414,Rural,0,1,2,0.43810411451068754
2629728,Urban,1,3,3,0.6906614856149212
6758537,Rural,1,1,1,0.45296872519355513
15403747,Urban,1,3,3,0.8694287520002081
1257356,Peri-urban,1,2,2,0.6736527570340413
4205841,Peri-urban,0,2,2,0.6057477056508361
4276406,Urban,1,3,2,0.7879969831546516
9951565,Urban,1,3,2,0.9172622141243767
4907643,Peri-urban,0,2,1,0.5099225168219186
2425487,Urban,1,3,3,0.8331781895066377
6911356,Rural,1,1,2,0.4605252497187315
5379715,Peri-urban,1,2,2,0.6133249547917684
8789248,Urban,0,3,2,0.8778418980287239
12539114,Urban,0,3,3,0.8167137542049703
6258979,Peri-urban,1,2,3,0.5309411679191076
7067833,Rural,0,1,1,0.3598763120745025
7052841,Peri-urban,1,2,1,0.6063950171109456
1161770,Peri-urban,0,2,1,0.5820101135723575
7862654,Urban,0,3,3,0.8050710870429323
5468764,Rural,0,1,1,0.37317867546123473
12115300,Rural,1,2,2,0.3340096961683463
2016908,Rural,0,1,2,0.4066307380551188
13669897,Rural,1,1,1,0.44412144343283955
1129526,Urban,0,3,2,0.8480718675731486
4949386,Urban,0,3,2,0.7603452016410477
2447076,Rural,1,1,2,0.4938714825775923
12704103,Urban,1,3,2,0.826310385239566
9416725,Rural,1,1,1,0.3759439828062488
14639747,Peri-urban,0,2,2,0.5645006130810929
4579151,Peri-urban,1,2,3,0.6220452360994932
6189786,Urban,0,3,2,0.7576489456366098
14325327,Peri-urban,1,3,3,0.7043503622671509
6563906,Peri-urban,0,2,3,0.5602942409523463
13553911,Urban,1,3,3,0.795744747754561
13664722,Urban,1,3,2,0.7940290342789099
9187841,Urban,1,3,3,0.8628582270458844
11353705,Peri-urban,1,2,2,0.5618195710433637
12885737,Urban,1,3,2,0.8930439909847128
14754943,Urban,1,3,3,0.8031162125947348
3204827,Rural,0,1,1,0.2521912080097086
3834973,Urban,1,3,3,0.7857633919990227
5842609,Rural,0,1,1,0.3797919210838986
519265,Urban,1,3,3,0.8416781053625512
3650557,Peri-urban,1,2,2,0.5747854069855215
16130988,Rural,0,1,1,0.2925666578348001
12809447,Urban,1,3,3,0.7804949102323918
10933374,Urban,1,3,3,0.8067569191944363
4717625,Rural,0,1,1,0.3406578822159788
14477584,Rural,1,1,1,0.44226039027364694
1972428,Rural,1,1,2,0.37236750838286714
14176788,Rural,0,1,1,0.3766919889290426
13033204,Urban,1,3,2,0.7601712125649172
2515384,Rural,1,1,2,0.3909860952828172
