student_id,multimedia_engagement,performance_gain,prior_achievement,consistency,early_struggle,skill_coverage,session_duration_avg,total_interactions,peer_collaboration,location,tablet_access,bandwidth_category,school_resource_level,teacher_qual,peer_activity_index,content_modality_preference,cate,achievement_q
u100001,0.4545454545454545,-0.2727272727272727,0.7272727272727273,1.0,0.2727272727272727,33,16696.939393939392,33,0.0333333333333333,Urban,0,3,3,0.8077716922778189,0.5653488372093023,0.4944725879278468,-0.2629575346530652,Q4-High
u100092,0.4883720930232558,0.0333333333333333,0.5,1.0,0.5,43,28371.97674418605,43,0.0333333333333333,Urban,1,3,3,0.8175962242959328,0.647093023255814,0.3751527747114991,-0.15136259048539383,Q2
u100194,0.5,-0.1999999999999999,0.6,1.0,0.4,30,12699.866666666669,30,0.0333333333333333,Urban,1,3,3,0.750077311496648,0.4625581395348837,0.5298115439843974,0.03620127182520679,Q3
u100306,0.4666666666666667,0.0999999999999999,0.6,1.0,0.4,30,30099.93333333333,30,0.0333333333333333,Peri-urban,1,2,3,0.6603884910392568,0.46654699738903394,0.2363558476234208,-0.02895111541714978,Q3
u100351,0.5,-0.7000000000000001,0.8,1.0,0.1999999999999999,30,22333.13333333333,30,0.0333333333333333,Urban,1,3,3,0.7833411630910256,0.4625581395348837,0.7680577944720322,-0.15170696782885068,Q4-High
u100384,0.45,-0.2472527472527473,0.4615384615384615,1.0,0.5384615384615384,40,27999.9,40,0.0333333333333333,Urban,0,3,3,0.7830501833860263,0.617906976744186,0.17279156167892437,0.3143660847717326,Q2
u100402,0.5,0.0138339920948616,0.6818181818181818,0.1666666666666666,0.3181818181818182,66,23205.867647058825,68,0.1666666666666666,Peri-urban,1,2,1,0.5445940075293292,0.7470626631853786,0.6534810368956206,0.1600413543477211,Q3
u100496,0.4557142857142857,-0.0073181468031252,0.7124463519313304,0.3571428571428571,0.2875536480686695,670,18951.39285714286,700,0.3333333333333333,Rural,0,1,1,0.4526904309079734,0.970030349013657,0.2705978714913083,0.081734460531099,Q4-High
u100597,0.5,0.4855072463768116,0.3478260869565217,0.5555555555555556,0.6521739130434783,70,21971.342857142856,70,0.1666666666666666,Rural,0,1,1,0.3680099317425511,0.7325493171471927,0.3118692875588732,0.2916596348397576,Q1-Low
u100616,0.4333333333333333,0.2,0.2,1.0,0.8,30,21199.83333333333,30,0.0333333333333333,Urban,1,3,3,0.7901020654865869,0.4625581395348837,0.5619785881285826,-0.16614456750962897,Q1-Low
u100662,0.4765100671140939,0.1089795918367347,0.5510204081632653,0.2272727272727272,0.4489795918367347,135,23966.40268456376,149,0.1666666666666666,Peri-urban,1,2,1,0.549825246204849,0.8570496083550914,0.7246439626373053,-0.28948309792978055,Q2
u100769,0.4,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,10,23799.8,10,0.0333333333333333,Rural,0,1,1,0.3727274244934299,0.032435508345978754,0.1360938788360612,-0.3364937472527238,Q3
u100803,0.5,0.0,0.4,1.0,0.6,30,42633.26666666667,30,0.0333333333333333,Peri-urban,1,2,2,0.5898498680020996,0.46654699738903394,0.4876026827640238,-0.014379729709658482,Q1-Low
u100839,0.5,0.4522058823529411,0.3125,1.0,0.6875,50,24519.96,50,0.0333333333333333,Urban,1,3,3,0.6983901635925388,0.6776744186046512,0.40838358575698863,0.06723590899442651,Q1-Low
u100855,0.4848484848484848,0.0454545454545454,0.5909090909090909,0.1904761904761904,0.409090909090909,66,30802.939393939392,66,0.1333333333333333,Peri-urban,0,2,1,0.6285339862304807,0.7423302872062664,0.19215809699627076,0.2993456620879331,Q3
