student_id,location,tablet_access,bandwidth,resource_level,teacher_qualification
STU000001,urban,shared_access,medium,low,diploma
STU000002,peri-urban,shared_access,high,low,untrained
STU000003,urban,no_access,low,high,untrained
STU000004,peri-urban,no_access,low,low,untrained
STU000005,rural,no_access,medium,low,postgraduate
STU000006,urban,no_access,low,low,degree
STU000007,urban,no_access,medium,low,diploma
STU000008,urban,individual_access,medium,medium,degree
STU000009,rural,no_access,medium,low,degree
STU000010,peri-urban,no_access,low,medium,diploma
STU000011,rural,shared_access,low,medium,diploma
STU000012,urban,shared_access,high,medium,diploma
STU000013,peri-urban,no_access,low,medium,degree
STU000014,urban,no_access,medium,low,untrained
STU000015,peri-urban,individual_access,low,medium,degree
STU000016,rural,no_access,low,medium,degree
STU000017,peri-urban,shared_access,low,low,diploma
STU000018,rural,shared_access,low,low,untrained
STU000019,urban,no_access,medium,medium,diploma
STU000020,peri-urban,shared_access,medium,medium,diploma
STU000021,urban,no_access,high,medium,diploma
STU000022,rural,no_access,high,low,degree
STU000023,urban,no_access,low,low,diploma
STU000024,urban,individual_access,low,high,untrained
STU000025,urban,no_access,high,low,diploma
STU000026,rural,no_access,low,high,diploma
STU000027,peri-urban,individual_access,low,medium,postgraduate
STU000028,rural,no_access,low,medium,diploma
STU000029,rural,individual_access,medium,low,diploma
STU000030,peri-urban,shared_access,low,high,degree
STU000031,peri-urban,shared_access,low,high,diploma
STU000032,urban,shared_access,medium,medium,diploma
STU000033,rural,shared_access,medium,medium,degree
STU000034,rural,no_access,low,medium,degree
STU000035,peri-urban,individual_access,medium,low,degree
STU000036,rural,individual_access,low,high,untrained
STU000037,rural,individual_access,low,low,diploma
STU000038,peri-urban,shared_access,low,medium,diploma
STU000039,rural,shared_access,low,low,diploma
STU000040,peri-urban,shared_access,low,medium,postgraduate
STU000041,peri-urban,no_access,high,medium,untrained
STU000042,urban,shared_access,low,medium,diploma
STU000043,peri-urban,shared_access,high,low,diploma
STU000044,rural,shared_access,low,low,untrained
STU000045,urban,no_access,low,low,diploma
STU000046,urban,shared_access,medium,high,untrained
STU000047,rural,shared_access,medium,low,degree
STU000048,rural,no_access,low,high,diploma
STU000049,peri-urban,individual_access,low,low,diploma
