student_id,location,tablet_access,bandwidth,resource_level,teacher_qualification
sdv-id-UgVANI,rural,shared_access,low,high,degree
sdv-id-fnmMnt,peri-urban,no_access,low,low,diploma
sdv-id-SAicgG,rural,shared_access,high,low,degree
sdv-id-tgfSxx,rural,no_access,medium,medium,untrained
sdv-id-EGOaxn,rural,individual_access,low,medium,untrained
sdv-id-VDKpzB,rural,no_access,low,low,degree
sdv-id-DFbvfR,rural,no_access,medium,medium,postgraduate
sdv-id-rBhpjo,rural,no_access,medium,high,postgraduate
sdv-id-kPMIMe,urban,individual_access,high,medium,diploma
sdv-id-jakpuF,urban,no_access,high,medium,untrained
sdv-id-eebWHZ,peri-urban,shared_access,medium,high,diploma
sdv-id-wYFCJX,urban,no_access,medium,low,postgraduate
sdv-id-iocCpa,rural,shared_access,low,low,diploma
sdv-id-cqKHPk,peri-urban,no_access,low,low,degree
sdv-id-ZsPmSq,peri-urban,no_access,high,low,diploma
sdv-id-CzGMpM,urban,shared_access,medium,medium,untrained
sdv-id-qFoRcU,peri-urban,shared_access,medium,low,degree
sdv-id-zwbQVX,rural,no_access,medium,medium,degree
sdv-id-Kczqms,rural,no_access,low,high,postgraduate
sdv-id-zMKkMa,rural,individual_access,medium,low,diploma
sdv-id-suREEy,rural,no_access,low,low,diploma
sdv-id-pKZvzI,peri-urban,no_access,medium,low,diploma
sdv-id-XQFIBk,rural,individual_access,medium,low,untrained
sdv-id-YREBrz,peri-urban,individual_access,low,low,untrained
sdv-id-aVCeOv,urban,no_access,medium,low,diploma
sdv-id-ZjyryW,rural,no_access,medium,low,diploma
sdv-id-RjSaIX,urban,shared_access,low,low,diploma
sdv-id-hfLIJx,rural,no_access,low,low,diploma
sdv-id-PCVdDP,urban,shared_access,high,medium,untrained
sdv-id-ljQMDJ,urban,individual_access,low,medium,diploma
sdv-id-WGVZho,urban,no_access,medium,low,degree
sdv-id-XFAhQI,urban,individual_access,medium,low,degree
sdv-id-aIViUg,urban,no_access,low,medium,postgraduate
sdv-id-RAiXoy,peri-urban,no_access,high,high,diploma
sdv-id-OYnpzv,urban,shared_access,medium,medium,diploma
sdv-id-IokKZS,urban,shared_access,low,low,degree
sdv-id-AVoNgo,urban,shared_access,high,high,degree
sdv-id-jTpShZ,rural,shared_access,low,medium,diploma
sdv-id-HDUBrS,urban,shared_access,low,medium,diploma
sdv-id-YpvOgq,urban,individual_access,high,low,degree
sdv-id-maeQhZ,peri-urban,shared_access,low,medium,degree
sdv-id-qFWfmx,peri-urban,individual_access,medium,high,degree
sdv-id-BPSSOE,rural,no_access,low,low,diploma
sdv-id-gYHGPt,rural,individual_access,high,low,diploma
sdv-id-YQUFxq,peri-urban,no_access,medium,medium,degree
sdv-id-NFAmuu,rural,no_access,low,low,degree
sdv-id-bWzGMx,urban,shared_access,medium,low,degree
sdv-id-tvNyxA,urban,no_access,low,medium,degree
sdv-id-oDxDAd,rural,no_access,low,high,untrained
sdv-id-UwpaXZ,peri-urban,no_access,medium,low,diploma
sdv-id-oBQPwE,peri-urban,no_access,medium,high,degree
sdv-id-VRFLCl,rural,shared_access,medium,low,diploma
sdv-id-hCklaq,urban,individual_access,low,medium,degree
sdv-id-wmxQtz,rural,no_access,low,medium,diploma
sdv-id-pDfZwG,rural,individual_access,medium,medium,untrained
sdv-id-cPsHtA,peri-urban,no_access,high,low,diploma
sdv-id-msXdxD,urban,individual_access,medium,medium,diploma
sdv-id-AIIJgQ,rural,shared_access,medium,low,degree
sdv-id-OglaOo,rural,shared_access,high,medium,degree
sdv-id-fcahhZ,peri-urban,no_access,low,low,degree
sdv-id-gbCdgE,peri-urban,no_access,low,medium,diploma
sdv-id-heYbRw,rural,individual_access,medium,low,diploma
sdv-id-AvuYSJ,peri-urban,no_access,low,medium,untrained
sdv-id-SCnCQJ,urban,no_access,medium,low,degree
sdv-id-DRslFw,rural,shared_access,medium,low,diploma
sdv-id-iytbWk,urban,no_access,medium,medium,degree
sdv-id-YZCvLa,urban,no_access,low,low,degree
sdv-id-WuNbOM,peri-urban,shared_access,low,low,diploma
sdv-id-CpeXFi,urban,no_access,high,high,untrained
sdv-id-PNdPny,urban,no_access,medium,low,untrained
sdv-id-PQCrhN,urban,individual_access,low,medium,diploma
sdv-id-ZxQPAp,peri-urban,no_access,low,low,degree
sdv-id-iVHhQc,rural,no_access,medium,low,degree
sdv-id-YPLmvn,urban,shared_access,low,high,degree
sdv-id-UEkIhP,rural,no_access,low,medium,untrained
sdv-id-UpydRn,rural,shared_access,medium,low,degree
sdv-id-vpTKWO,rural,no_access,medium,medium,diploma
sdv-id-vNPLTJ,peri-urban,shared_access,medium,medium,untrained
sdv-id-HgfvWE,rural,shared_access,high,medium,diploma
sdv-id-JjBzaW,urban,no_access,high,medium,diploma
sdv-id-WNYddk,rural,no_access,low,low,degree
sdv-id-TNyFok,peri-urban,no_access,medium,low,diploma
sdv-id-IYeqSE,urban,individual_access,high,high,diploma
sdv-id-TNhvtO,rural,no_access,low,medium,degree
sdv-id-oJkcYk,urban,individual_access,low,medium,diploma
sdv-id-urxnhb,rural,individual_access,low,medium,postgraduate
sdv-id-PKRXpQ,rural,individual_access,medium,medium,degree
sdv-id-NMECjv,urban,shared_access,high,medium,untrained
sdv-id-fabBqR,peri-urban,individual_access,high,low,diploma
sdv-id-bHHQlE,rural,shared_access,low,medium,degree
sdv-id-ZccDvE,peri-urban,shared_access,low,high,diploma
sdv-id-GvHsqF,rural,no_access,medium,high,diploma
sdv-id-mBdSCY,rural,individual_access,low,medium,diploma
sdv-id-lgRQnn,urban,no_access,low,medium,degree
sdv-id-yYMOYv,peri-urban,no_access,medium,low,degree
sdv-id-ihpOCJ,rural,shared_access,high,low,diploma
sdv-id-rnKZms,peri-urban,individual_access,low,medium,diploma
sdv-id-rWQcNA,urban,individual_access,medium,medium,degree
sdv-id-dMkQDa,urban,shared_access,medium,high,postgraduate
sdv-id-NBiqmO,peri-urban,shared_access,low,medium,degree
sdv-id-rPwGAY,urban,shared_access,medium,high,diploma
sdv-id-qhuYYT,urban,individual_access,medium,high,diploma
sdv-id-hzkgEl,rural,no_access,medium,low,untrained
sdv-id-iFKhmY,peri-urban,shared_access,medium,high,diploma
sdv-id-QaeNJZ,peri-urban,no_access,low,low,diploma
sdv-id-kOcHVH,peri-urban,no_access,low,medium,degree
sdv-id-CUWjGd,rural,individual_access,medium,medium,degree
sdv-id-HEXECm,urban,no_access,medium,high,degree
sdv-id-MLKGOO,peri-urban,no_access,low,medium,degree
sdv-id-yHzZce,rural,shared_access,high,low,diploma
sdv-id-fhmmOE,peri-urban,no_access,low,low,degree
sdv-id-wdkkUx,peri-urban,individual_access,high,high,postgraduate
sdv-id-TJgxyn,urban,shared_access,low,low,degree
sdv-id-rOCLmZ,peri-urban,no_access,low,medium,degree
sdv-id-XJfWvf,peri-urban,shared_access,medium,low,degree
sdv-id-TayzvJ,urban,no_access,low,low,degree
sdv-id-pvZqOM,rural,shared_access,medium,medium,diploma
sdv-id-HlJqQo,peri-urban,individual_access,medium,low,degree
sdv-id-QXpjKZ,peri-urban,individual_access,medium,high,degree
sdv-id-NBGMkA,peri-urban,shared_access,high,medium,diploma
sdv-id-mWtxpv,rural,individual_access,high,low,untrained
sdv-id-kgznhK,rural,shared_access,low,low,postgraduate
sdv-id-vSkvdt,urban,no_access,low,low,degree
sdv-id-fQJofP,rural,shared_access,low,low,degree
sdv-id-PXoKOT,urban,individual_access,high,medium,diploma
sdv-id-HxQlVo,rural,shared_access,low,low,postgraduate
sdv-id-dHjulK,urban,shared_access,medium,low,postgraduate
sdv-id-LuSNcu,rural,shared_access,medium,low,untrained
sdv-id-qAiFYR,peri-urban,shared_access,low,low,diploma
sdv-id-AYZRrz,urban,shared_access,low,low,diploma
sdv-id-MpYUym,rural,individual_access,low,medium,untrained
sdv-id-RskQiz,rural,shared_access,low,low,degree
sdv-id-BdJCTq,rural,individual_access,medium,medium,diploma
sdv-id-hvSatg,peri-urban,no_access,medium,medium,diploma
sdv-id-BHFPsn,urban,no_access,medium,high,untrained
sdv-id-vVJulg,urban,individual_access,medium,low,degree
sdv-id-ypArpH,rural,no_access,high,low,degree
sdv-id-eXUpMC,peri-urban,no_access,medium,medium,diploma
sdv-id-oNkFwH,urban,shared_access,medium,low,diploma
sdv-id-HPIhPn,peri-urban,no_access,medium,low,diploma
sdv-id-JYIpjT,peri-urban,no_access,low,medium,postgraduate
sdv-id-sTutyG,peri-urban,shared_access,medium,low,degree
sdv-id-iDShPV,rural,individual_access,low,medium,diploma
sdv-id-neQHnQ,rural,shared_access,low,high,degree
sdv-id-BZTAUn,peri-urban,shared_access,medium,low,diploma
sdv-id-bKarqT,peri-urban,no_access,low,high,diploma
sdv-id-Empaqr,urban,shared_access,high,medium,diploma
sdv-id-EOBDom,rural,shared_access,high,medium,diploma
sdv-id-MIldHs,rural,no_access,medium,low,diploma
sdv-id-ORrsKL,peri-urban,no_access,high,medium,diploma
sdv-id-IwqtWW,peri-urban,individual_access,medium,medium,diploma
sdv-id-wtoxkc,urban,shared_access,medium,medium,diploma
sdv-id-gbTIoO,rural,individual_access,low,medium,diploma
sdv-id-nqImyJ,peri-urban,individual_access,medium,high,degree
sdv-id-PLzohd,rural,no_access,low,low,degree
sdv-id-tdvsaG,rural,individual_access,medium,medium,diploma
sdv-id-rJqJdt,rural,shared_access,medium,low,degree
sdv-id-qmiEWC,peri-urban,no_access,low,low,diploma
