student_id,multimedia_engagement,performance_gain,prior_achievement,consistency,early_struggle,skill_coverage,session_duration_avg,total_interactions,peer_collaboration,location,tablet_access,bandwidth_category,school_resource_level,teacher_qual,peer_activity_index,content_modality_preference,cate,achievement_q
u181779,0.4023849564286806,0.2811892732219199,0.4,0.1574055246898157,0.4,5364,21785.59272282525,6541,0.5333333333333333,Urban,0,3,3,0.8077716922778189,0.883419689119171,0.4944725879278468,0.24254972052101417,Q1-Low
u21788,0.5278810408921933,-0.2769230769230769,0.7365591397849462,0.2292001247002717,0.7105263157894737,267,33594.795539033454,269,0.3666666666666666,Urban,1,3,3,0.8175962242959328,0.18976683937823835,0.3751527747114991,0.14381744054819146,Q4-High
u115,0.6265950302216252,-0.0922824302134647,0.4380165289256198,0.1520846860407292,0.4032258064516129,1347,33812.496306245805,1489,0.4,Urban,1,3,3,0.750077311496648,0.4650259067357513,0.5298115439843974,0.19791358053779362,Q1-Low
u54332,0.1376811594202898,0.0616174582798458,0.6578947368421053,0.2391512831416049,0.6578947368421053,269,17130.42391304348,276,0.2333333333333333,Peri-urban,1,2,3,0.6603884910392568,0.2854757929883139,0.2363558476234208,-0.015577817743553225,Q3
u156451,0.4563650920736589,0.129464861379755,0.6287878787878788,0.269168720189415,0.515625,1055,24991.142514011208,1249,0.3333333333333333,Urban,1,3,3,0.7833411630910256,0.4430051813471503,0.7680577944720322,5.1982398118751675e-05,Q2
u411254,0.2747252747252747,0.0559440559440558,0.4895104895104895,0.3185855480023385,0.4666666666666667,248,20271.06227106227,273,0.3,Urban,0,3,3,0.7830501833860263,0.23251295336787564,0.17279156167892437,0.2826691079175452,Q1-Low
u750972,0.8905109489051095,0.0443349753694581,0.5283018867924528,0.092875618531031,0.5283018867924528,137,42072.87591240876,137,0.1666666666666666,Peri-urban,1,2,1,0.5445940075293292,0.164440734557596,0.6534810368956206,0.010346071134991685,Q1-Low
u519,0.6454081632653061,0.0769230769230768,0.6413043478260869,0.3537492621400637,0.6417910447761194,352,29540.755102040817,392,0.3666666666666666,Rural,0,1,1,0.4526904309079734,0.3147751605995717,0.2705978714913083,-0.0029156425934510066,Q2
u505511,0.3797805642633229,0.0367959378198285,0.652972027972028,0.2339882885241843,0.696969696969697,4843,22101.871003134795,6380,0.9666666666666668,Rural,0,1,1,0.3680099317425511,0.8436830835117773,0.3118692875588732,-0.052948894933083406,Q3
u486313,0.4117647058823529,0.0093764650726676,0.5471698113207547,0.486851247794111,0.5294117647058824,126,24705.88235294117,136,0.7,Urban,1,3,3,0.7901020654865869,0.12176165803108809,0.5619785881285826,0.21759643725227507,Q1-Low
u543855,0.4492753623188406,-0.1862745098039215,0.8235294117647058,0.407168929960688,0.8235294117647058,192,21826.08695652174,276,0.1666666666666666,Peri-urban,1,2,1,0.549825246204849,0.2854757929883139,0.7246439626373053,0.00398445660406363,Q4-High
u484975,0.1544117647058823,0.0549450549450549,0.654320987654321,0.3585041678264267,0.6078431372549019,267,16084.558823529413,272,0.4,Rural,0,1,1,0.3727274244934299,0.20770877944325483,0.1360938788360612,-0.08398462976226459,Q3
u383,0.5869565217391305,-0.2026143790849673,0.3333333333333333,0.2685520356792378,0.3333333333333333,43,25021.739130434784,46,0.1333333333333333,Peri-urban,1,2,2,0.5898498680020996,0.08347245409015025,0.4876026827640238,-0.1672993512101159,Q1-Low
u248853,0.2262030207235686,-0.0340933545502766,0.6469230769230769,0.1333063391437009,0.6398467432950191,4012,17756.228486125747,5694,0.9333333333333332,Urban,1,3,3,0.6983901635925388,0.7668393782383419,0.40838358575698863,-0.051930627122579835,Q2
u487952,0.0952380952380952,0.1,0.3,0.3154200309402802,0.3,21,19476.19047619048,21,0.0666666666666666,Peri-urban,0,2,1,0.6285339862304807,0.01001669449081803,0.19215809699627076,-0.03347323849943141,Q1-Low
u15650,0.5754098360655737,0.0670431893687707,0.6666666666666666,0.1682772751951388,0.6388888888888888,816,29872.867213114758,1220,0.6,Peri-urban,0,2,1,0.8873200194684052,0.4707846410684474,0.5041691951652935,-0.0764855550024158,Q3
u146141,0.3117971334068357,0.0291084854994628,0.55,0.2970402313295254,0.4069767441860465,3470,18914.42866593164,4535,0.9333333333333332,Rural,1,1,2,0.4508838274170905,0.6284796573875803,0.197928577627594,0.07906736834535631,Q1-Low
u10911,0.4268019955272665,0.2291052574119996,0.4615384615384615,0.1768380556334016,0.3,4870,23561.59040082573,5813,0.5333333333333333,Urban,0,3,3,0.769795007219236,0.7823834196891192,0.42946368034554616,0.06927152511657408,Q1-Low
u394200,0.213235294117647,0.0041666666666666,0.6458333333333334,0.2303005522426021,0.6458333333333334,272,16904.41176470588,272,0.4333333333333333,Urban,1,3,2,0.7793112294743517,0.21243523316062177,0.26755326436227744,0.04184341576909621,Q2
u608,0.5906838453914767,0.0971137272160487,0.6487341772151899,0.3443361531189222,0.5801526717557252,803,29362.72745292369,1009,0.7333333333333333,Urban,1,3,3,0.7453939351349931,0.4183937823834197,0.3207521505549691,0.034295954421241524,Q2
u196651,0.6699051061906913,0.0602442834505879,0.744,0.1019308723385239,0.6477272727272727,4184,29977.402394939,4426,0.8666666666666667,Urban,1,3,3,0.816438523256256,0.6237046632124352,0.34709726437150484,-0.09690712374641759,Q4-High
